epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,119.645,0.9975,0.94857,1,0.15549,0.000329457,0.000329457,0.0673837
2,230.138,0.42672,0.97714,1,0.03704,0.000649667,0.000649667,0.0343706
3,365.3,0.30547,0.98857,1,0.04615,0.000956678,0.000956678,0.00134427
4,476.341,0.2769,0.95429,1,0.10171,0.0009406,0.0009406,0.0009406
5,589.455,0.19861,1,1,0.02047,0.0009208,0.0009208,0.0009208
6,691.71,0.19521,0.95429,1,0.1053,0.000901,0.000901,0.000901
7,795.58,0.16363,1,1,0.00618,0.0008812,0.0008812,0.0008812
8,899.168,0.18677,1,1,0.01108,0.0008614,0.0008614,0.0008614
9,1001.21,0.1573,1,1,0.00531,0.0008416,0.0008416,0.0008416
10,1103.96,0.12524,1,1,0.00428,0.0008218,0.0008218,0.0008218
11,1206.39,0.14152,1,1,0.00698,0.000802,0.000802,0.000802
12,1308.73,0.13104,1,1,0.00222,0.0007822,0.0007822,0.0007822
13,1411.74,0.10806,1,1,0.00203,0.0007624,0.0007624,0.0007624
14,1514.13,0.10868,1,1,0.0035,0.0007426,0.0007426,0.0007426
15,1616.18,0.0978,1,1,0.00096,0.0007228,0.0007228,0.0007228
